Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
126,256,8.85547,0.65069,3.58984,0.89746,0.19975,0.19975
127,256,8.99219,0.66168,3.68359,0.92090,0.22443,0.22443
128,256,8.88672,0.65317,3.48828,0.87207,0.22916,0.22916
129,256,8.88281,0.65251,3.44531,0.86133,0.22909,0.22909
130,256,8.92188,0.65444,3.69141,0.92285,0.19688,0.19688
131,256,8.88281,0.65401,3.63672,0.90918,0.20283,0.20283
132,256,8.99219,0.66092,3.66406,0.91602,0.20696,0.20696
133,256,8.98047,0.65817,3.62109,0.90527,0.22095,0.22095
134,256,8.66016,0.63762,3.40234,0.85059,0.24383,0.24383
135,256,8.90625,0.65461,3.57031,0.89258,0.21805,0.21805
136,256,8.90625,0.65330,3.55078,0.88770,0.21481,0.21481
137,256,8.71094,0.64136,3.19922,0.79980,0.24862,0.24862
138,256,8.68750,0.63853,3.17188,0.79297,0.24293,0.24293
139,256,8.61719,0.63155,3.18359,0.79590,0.23537,0.23537
140,256,8.67969,0.63777,3.26172,0.81543,0.22235,0.22235
141,256,8.42578,0.62001,2.98828,0.74707,0.26989,0.26989
142,256,8.57422,0.62840,2.97656,0.74414,0.26891,0.26891
143,256,8.46484,0.62199,3.02344,0.75586,0.26692,0.26692
144,256,8.42969,0.62029,3.12891,0.78223,0.23136,0.23136
145,256,8.30469,0.61039,3.08203,0.77051,0.26522,0.26522
146,256,8.40625,0.61768,3.14062,0.78516,0.24814,0.24814
147,256,8.54688,0.62892,3.23047,0.80762,0.22758,0.22758
148,256,8.33594,0.61269,3.17578,0.79395,0.26954,0.26954
149,256,8.38281,0.61578,3.13672,0.78418,0.26016,0.26016
150,256,8.50000,0.62350,3.19141,0.79785,0.23837,0.23837
151,256,8.51172,0.62669,3.06641,0.76660,0.24806,0.24806
152,256,8.37109,0.61527,3.26953,0.81738,0.25116,0.25116
153,256,8.26562,0.60578,3.14062,0.78516,0.23862,0.23862
154,256,8.29297,0.60936,3.12500,0.78125,0.22068,0.22068
155,256,8.00391,0.58896,3.09375,0.77344,0.25965,0.25965
156,256,8.13281,0.59776,3.09766,0.77441,0.25282,0.25282
157,256,8.22656,0.60430,3.04688,0.76172,0.26044,0.26044
158,256,8.18750,0.60247,3.10938,0.77734,0.24651,0.24651
159,256,8.18359,0.59977,3.08594,0.77148,0.25697,0.25697
160,256,8.10938,0.59707,3.12891,0.78223,0.24905,0.24905
161,256,8.16406,0.60006,3.12500,0.78125,0.24709,0.24709
162,256,8.12109,0.59519,3.12109,0.78027,0.24583,0.24583
163,256,8.18750,0.60161,3.11328,0.77832,0.24215,0.24215
164,256,8.16797,0.60103,3.08984,0.77246,0.25224,0.25224
165,256,8.00000,0.58800,3.12109,0.78027,0.25166,0.25166
166,256,8.06641,0.59254,3.05078,0.76270,0.24619,0.24619
167,256,8.09766,0.59398,3.13281,0.78320,0.25314,0.25314
168,256,8.02734,0.58832,3.01953,0.75488,0.27657,0.27657
169,256,7.98438,0.58668,3.03516,0.75879,0.26475,0.26475
170,256,8.08594,0.59500,3.06641,0.76660,0.24971,0.24971
171,256,7.97266,0.58599,3.00781,0.75195,0.26435,0.26435
172,256,7.94531,0.58364,3.04297,0.76074,0.25021,0.25021
173,256,7.93359,0.58195,3.05469,0.76367,0.25864,0.25864
174,256,8.00000,0.58901,3.10938,0.77734,0.25091,0.25091
175,256,7.90625,0.58111,2.98438,0.74609,0.26816,0.26816
176,256,7.90234,0.57966,3.07422,0.76855,0.24447,0.24447
177,256,7.84375,0.57751,3.05469,0.76367,0.26404,0.26404
178,256,7.89453,0.58025,3.06641,0.76660,0.24831,0.24831
179,256,7.91797,0.58030,3.08203,0.77051,0.25562,0.25562
180,256,7.91406,0.58152,3.12500,0.78125,0.26679,0.26679
181,256,7.96484,0.58609,3.15625,0.78906,0.25966,0.25966
182,256,7.74609,0.56934,3.07422,0.76855,0.26414,0.26414
183,256,7.84766,0.57647,2.98047,0.74512,0.24135,0.24135
184,256,7.79297,0.57163,3.03516,0.75879,0.25215,0.25215
185,256,7.89453,0.58025,3.07031,0.76758,0.25120,0.25120
186,256,7.87109,0.57819,3.00781,0.75195,0.24374,0.24374
187,256,7.82812,0.57421,3.01172,0.75293,0.25351,0.25351
188,256,7.94531,0.58499,3.08203,0.77051,0.25488,0.25488
189,256,7.79297,0.57278,3.06250,0.76562,0.27340,0.27340
190,256,7.74609,0.56819,3.11328,0.77832,0.26343,0.26343
191,256,7.89844,0.58154,3.27344,0.81836,0.26946,0.26946
192,256,7.67578,0.56417,3.14453,0.78613,0.28527,0.28527
193,256,7.85938,0.57601,3.21094,0.80273,0.27391,0.27391
194,256,7.73438,0.56831,3.16406,0.79102,0.25135,0.25135
195,256,7.65234,0.56309,3.11719,0.77930,0.28811,0.28811
